Hf2O4_10,4.99283189,-0.0,0.0,0.0,4.99283189,0.0,0.0,0.0,4.84081561
Hf2O4_100,6.72035773,0.0,0.0,0.0,6.72035773,0.0,0.0,0.0,4.20067443
Hf2O4_1000,7.00017134,-0.0,0.0,0.0,7.00017134,0.0,0.0,0.0,4.44609297
Hf2O4_1001,5.93353064,0.0,0.0,-0.0,5.93353064,0.0,0.0,0.0,4.38864103
Hf2O4_1002,4.78509701,0.0,0.0,0.0,4.78509701,0.0,0.0,0.0,5.01755974
Hf2O4_1003,5.46903562,0.0,0.0,0.0,5.46903562,0.0,0.0,0.0,5.01546772
Hf2O4_1004,5.28694728,-0.0,0.0,0.0,5.28694728,0.0,0.0,0.0,4.5054775
Hf2O4_1005,4.49633621,0.0,0.0,0.0,4.49633621,0.0,0.0,0.0,4.8320278
Hf2O4_1006,5.05484409,0.0,0.0,0.0,5.05484409,0.0,0.0,0.0,4.50001871
Hf2O4_1007,5.05826519,-0.0,0.0,-0.0,5.05826519,0.0,0.0,0.0,4.41430585
Hf2O4_1008,4.83413738,-0.0,0.0,-0.0,4.83413738,0.0,0.0,0.0,4.60173743
Hf2O4_1009,5.12570209,0.0,0.0,0.0,5.12570209,0.0,0.0,0.0,4.65702063
Hf2O4_101,4.61050849,0.0,0.0,0.0,4.61050849,0.0,0.0,0.0,4.75613801
Hf2O4_1010,5.00057152,-0.0,0.0,-0.0,5.00057152,0.0,0.0,0.0,4.50697341
Hf2O4_1011,4.26156273,0.0,0.0,0.0,4.26156273,0.0,0.0,0.0,4.79958721
Hf2O4_1012,5.10881996,-0.0,0.0,-0.0,5.10881996,0.0,0.0,0.0,4.21972411
Hf2O4_1013,4.60358412,0.0,0.0,0.0,4.60358412,0.0,0.0,0.0,5.09236173
Hf2O4_1014,5.24453667,-0.0,0.0,0.0,5.24453667,0.0,0.0,0.0,4.24067004
Hf2O4_1015,5.12238824,0.0,0.0,0.0,5.12238824,0.0,0.0,0.0,4.36826827
Hf2O4_1016,5.76724799,-0.0,0.0,-0.0,5.76724799,0.0,0.0,0.0,4.67289025
Hf2O4_1017,4.25492512,0.0,0.0,0.0,4.25492512,0.0,0.0,0.0,5.01717371
Hf2O4_1018,4.92729113,-0.0,0.0,0.0,4.92729113,0.0,0.0,0.0,4.520197
Hf2O4_1019,4.90201167,0.0,0.0,-0.0,4.90201167,0.0,0.0,0.0,4.53635704
Hf2O4_102,5.17919048,0.0,0.0,-0.0,5.17919048,0.0,0.0,0.0,4.36167183
Hf2O4_1020,5.31511655,-0.0,0.0,0.0,5.31511655,0.0,0.0,0.0,4.18520195
Hf2O4_1021,7.10491533,-0.0,0.0,-0.0,7.10491533,0.0,0.0,0.0,4.20527745
Hf2O4_1022,5.42132598,0.0,0.0,-0.0,5.42132598,0.0,0.0,0.0,4.2406332
Hf2O4_1023,4.63551559,0.0,0.0,0.0,4.63551559,0.0,0.0,0.0,4.64409982
Hf2O4_1024,5.15076864,-0.0,0.0,-0.0,5.15076864,0.0,0.0,0.0,4.26682311
