Al2O3_1,3.18068419,0.08248767,-0.0,-0.08248767,3.18068549,-0.0,-0.0,-0.0,3.04992443,3.18068419,-0.08248767,-0.0,0.08248767,3.18068549,-0.0,-0.0,-0.0,3.04992443,3.18068419,0.08248767,-0.0,-0.08248767,3.18068549,-0.0,-0.0,-0.0,3.04992443,3.18068419,-0.08248767,-0.0,0.08248767,3.18068549,-0.0,-0.0,-0.0,3.04992443,-2.30665127,0.0,0.0,0.0,-1.93426178,0.1788731,0.0,0.39809255,-2.03328295,-2.02735856,0.16124976,-0.15490862,0.16124976,-2.2135546,-0.08943655,-0.34475819,-0.19904627,-2.03328295,-2.02735856,-0.16124976,0.15490862,-0.16124976,-2.2135546,-0.08943655,0.34475819,-0.19904627,-2.03328295,-2.30665127,0.0,0.0,0.0,-1.93426178,0.1788731,0.0,0.39809255,-2.03328295,-2.02735856,0.16124976,-0.15490862,0.16124976,-2.2135546,-0.08943655,-0.34475819,-0.19904627,-2.03328295,-2.02735856,-0.16124976,0.15490862,-0.16124976,-2.2135546,-0.08943655,0.34475819,-0.19904627,-2.03328295
Al2O3_10,3.21659365,0.10945535,0.0,-0.10945535,3.21659334,-2.7e-07,0.0,-2.7e-07,2.96503386,3.21659365,-0.10945535,0.0,0.10945535,3.21659334,-2.7e-07,0.0,-2.7e-07,2.96503386,3.21659365,0.10945535,0.0,-0.10945535,3.21659334,-2.7e-07,0.0,-2.7e-07,2.96503386,3.21659365,-0.10945535,0.0,0.10945535,3.21659334,-2.7e-07,0.0,-2.7e-07,2.96503386,-2.40790472,-0.0,-0.0,-0.0,-1.88088669,0.24563062,-0.0,0.41130247,-1.97668924,-2.01264129,0.22820545,-0.21272221,0.22820546,-2.27614999,-0.12281504,-0.35619825,-0.20565097,-1.97668924,-2.01264129,-0.22820545,0.21272221,-0.22820546,-2.27614999,-0.12281504,0.35619825,-0.20565097,-1.97668924,-2.40790472,-0.0,-0.0,-0.0,-1.88088669,0.24563062,-0.0,0.41130247,-1.97668924,-2.01264129,0.22820545,-0.21272221,0.22820546,-2.27614999,-0.12281504,-0.35619825,-0.20565097,-1.97668924,-2.01264129,-0.22820545,0.21272221,-0.22820546,-2.27614999,-0.12281504,0.35619825,-0.20565097,-1.97668924
Al2O3_100,3.24962173,0.03116527,0.0,-0.03116527,3.24962095,-0.0,0.0,-0.0,2.67658396,3.24962173,-0.03116527,0.0,0.03116527,3.24962095,-0.0,0.0,-0.0,2.67658396,3.24962173,0.03116527,0.0,-0.03116527,3.24962095,-0.0,0.0,-0.0,2.67658396,3.24962173,-0.03116527,0.0,0.03116527,3.24962095,-0.0,0.0,-0.0,2.67658396,-2.33286266,-0.0,-0.0,-0.0,-1.99996584,0.14429661,-0.0,0.29818915,-1.78438931,-2.0831904,0.14414833,-0.12496454,0.14414833,-2.24963804,-0.0721483,-0.25823941,-0.14909458,-1.78438931,-2.0831904,-0.14414833,0.12496454,-0.14414833,-2.24963804,-0.0721483,0.25823941,-0.14909458,-1.78438931,-2.33286266,-0.0,-0.0,-0.0,-1.99996584,0.14429661,-0.0,0.29818915,-1.78438931,-2.0831904,0.14414833,-0.12496454,0.14414833,-2.24963804,-0.0721483,-0.25823941,-0.14909458,-1.78438931,-2.0831904,-0.14414833,0.12496454,-0.14414833,-2.24963804,-0.0721483,0.25823941,-0.14909458,-1.78438931
Al2O3_1000,3.05348369,-0.192853,0.0,0.192853,3.05348455,3.3e-07,0.0,3.3e-07,3.4159754,3.05348369,0.192853,0.0,-0.192853,3.05348455,3.3e-07,0.0,3.3e-07,3.4159754,3.05348369,-0.192853,0.0,0.192853,3.05348455,3.3e-07,0.0,3.3e-07,3.4159754,3.05348369,0.192853,0.0,-0.192853,3.05348455,3.3e-07,0.0,3.3e-07,3.4159754,-2.19391886,-0.0,-0.0,-0.0,-1.87739327,-0.1011223,-0.0,-0.02873291,-2.27731693,-1.95652426,0.13705986,0.08757428,0.13705986,-2.11478791,0.05056082,0.02488324,0.01436613,-2.27731693,-1.95652426,-0.13705986,-0.08757428,-0.13705986,-2.11478791,0.05056082,-0.02488324,0.01436613,-2.27731693,-2.19391886,-0.0,-0.0,-0.0,-1.87739327,-0.1011223,-0.0,-0.02873291,-2.27731693,-1.95652426,0.13705986,0.08757428,0.13705986,-2.11478791,0.05056082,0.02488324,0.01436613,-2.27731693,-1.95652426,-0.13705986,-0.08757428,-0.13705986,-2.11478791,0.05056082,-0.02488324,0.01436613,-2.27731693
Al2O3_1001,3.06559438,-0.18437238,0.0,0.18437238,3.06559588,0.0,0.0,0.0,3.16104018,3.06559438,0.18437238,0.0,-0.18437238,3.06559588,0.0,0.0,0.0,3.16104018,3.06559438,-0.18437238,0.0,0.18437238,3.06559588,0.0,0.0,0.0,3.16104018,3.06559438,0.18437238,0.0,-0.18437238,3.06559588,0.0,0.0,0.0,3.16104018,-2.23192821,-0.0,-0.0,-0.0,-1.85553188,-0.02134933,-0.0,0.08565581,-2.10736012,-1.94963028,0.16298482,0.01848906,0.16298482,-2.13782995,0.01067466,-0.07418009,-0.04282791,-2.10736012,-1.94963028,-0.16298482,-0.01848906,-0.16298482,-2.13782995,0.01067466,0.07418009,-0.04282791,-2.10736012,-2.23192821,-0.0,-0.0,-0.0,-1.85553188,-0.02134933,-0.0,0.08565581,-2.10736012,-1.94963028,0.16298482,0.01848906,0.16298482,-2.13782995,0.01067466,-0.07418009,-0.04282791,-2.10736012,-1.94963028,-0.16298482,-0.01848906,-0.16298482,-2.13782995,0.01067466,0.07418009,-0.04282791,-2.10736012
Al2O3_1002,3.00479982,0.04879133,2.3e-07,-0.04879059,3.00479964,0.0,2.3e-07,0.0,3.18551088,3.00479982,-0.04879059,2.3e-07,0.04879133,3.00479964,0.0,2.3e-07,0.0,3.18551088,3.00479982,0.04879133,2.3e-07,-0.04879059,3.00479964,0.0,2.3e-07,0.0,3.18551088,3.00479982,-0.04879059,2.3e-07,0.04879133,3.00479964,0.0,2.3e-07,0.0,3.18551088,-2.04834011,-2.1e-07,-1.2e-07,-2.2e-07,-1.95805954,0.25415871,-1e-07,0.4523368,-2.12367392,-1.9806298,0.03909232,-0.22010807,0.03909232,-2.02576987,-0.12707935,-0.39173535,-0.2261684,-2.12367392,-1.98062973,-0.03909285,0.22010774,-0.03909284,-2.02576987,-0.12707935,0.39173499,-0.2261684,-2.12367392,-2.04834011,-2.1e-07,-1.2e-07,-2.2e-07,-1.95805954,0.25415871,-1e-07,0.4523368,-2.12367392,-1.9806298,0.03909232,-0.22010807,0.03909232,-2.02576987,-0.12707935,-0.39173535,-0.2261684,-2.12367392,-1.98062973,-0.03909285,0.22010774,-0.03909284,-2.02576987,-0.12707935,0.39173499,-0.2261684,-2.12367392
Al2O3_1003,3.32998627,-0.12238397,-0.0,0.12238397,3.32998579,2.6e-07,-0.0,2.6e-07,3.15055911,3.32998627,0.12238397,-0.0,-0.12238397,3.32998579,2.6e-07,-0.0,2.6e-07,3.15055911,3.32998627,-0.12238397,-0.0,0.12238397,3.32998579,2.6e-07,-0.0,2.6e-07,3.15055911,3.32998627,0.12238397,-0.0,-0.12238397,3.32998579,2.6e-07,-0.0,2.6e-07,3.15055911,-2.33047113,-0.0,0.0,-0.0,-2.10951019,0.34709171,0.0,0.46510977,-2.10037274,-2.16475071,0.0956787,-0.30059042,0.09567869,-2.27523069,-0.17354612,-0.40279706,-0.23255515,-2.10037274,-2.16475071,-0.0956787,0.30059042,-0.09567869,-2.27523069,-0.17354612,0.40279706,-0.23255515,-2.10037274,-2.33047113,-0.0,0.0,-0.0,-2.10951019,0.34709171,0.0,0.46510977,-2.10037274,-2.16475071,0.0956787,-0.30059042,0.09567869,-2.27523069,-0.17354612,-0.40279706,-0.23255515,-2.10037274,-2.16475071,-0.0956787,0.30059042,-0.09567869,-2.27523069,-0.17354612,0.40279706,-0.23255515,-2.10037274
Al2O3_1004,3.15906805,-0.09518881,2.4e-07,0.09518955,3.15906814,2.4e-07,2.4e-07,2.4e-07,2.96690213,3.15906805,0.09518955,2.4e-07,-0.09518881,3.15906814,2.4e-07,2.4e-07,2.4e-07,2.96690213,3.15906805,-0.09518881,2.4e-07,0.09518955,3.15906814,2.4e-07,2.4e-07,2.4e-07,2.96690213,3.15906805,0.09518955,2.4e-07,-0.09518881,3.15906814,2.4e-07,2.4e-07,2.4e-07,2.96690213,-2.22149706,-1.9e-07,-1.2e-07,-2e-07,-1.99059367,0.33734805,-1e-07,0.49899287,-1.97793475,-2.04831956,0.0999838,-0.2921523,0.0999838,-2.16377131,-0.16867427,-0.43214083,-0.24949668,-1.97793475,-2.04831949,-0.09998435,0.29215194,-0.09998433,-2.16377131,-0.16867427,0.43214045,-0.24949668,-1.97793475,-2.22149706,-1.9e-07,-1.2e-07,-2e-07,-1.99059367,0.33734805,-1e-07,0.49899287,-1.97793475,-2.04831956,0.0999838,-0.2921523,0.0999838,-2.16377131,-0.16867427,-0.43214083,-0.24949668,-1.97793475,-2.04831949,-0.09998435,0.29215194,-0.09998433,-2.16377131,-0.16867427,0.43214045,-0.24949668,-1.97793475
Al2O3_1005,3.25422618,0.00996888,2.4e-07,-0.00996806,3.25422612,2.4e-07,2.4e-07,2.4e-07,3.44004498,3.25422618,-0.00996806,2.4e-07,0.00996888,3.25422612,2.4e-07,2.4e-07,2.4e-07,3.44004498,3.25422618,0.00996888,2.4e-07,-0.00996806,3.25422612,2.4e-07,2.4e-07,2.4e-07,3.44004498,3.25422618,-0.00996806,2.4e-07,0.00996888,3.25422612,2.4e-07,2.4e-07,2.4e-07,3.44004498,-2.35939655,-2.1e-07,-1e-07,-2.1e-07,-1.97957159,0.49426936,-1e-07,0.52068686,-2.29336332,-2.07452793,0.16446865,-0.42805015,0.16446865,-2.26444033,-0.24713492,-0.45092839,-0.26034367,-2.29336332,-2.07452789,-0.16446926,0.42804977,-0.16446925,-2.26444033,-0.24713492,0.450928,-0.26034367,-2.29336332,-2.35939655,-2.1e-07,-1e-07,-2.1e-07,-1.97957159,0.49426936,-1e-07,0.52068686,-2.29336332,-2.07452793,0.16446865,-0.42805015,0.16446865,-2.26444033,-0.24713492,-0.45092839,-0.26034367,-2.29336332,-2.07452789,-0.16446926,0.42804977,-0.16446925,-2.26444033,-0.24713492,0.450928,-0.26034367,-2.29336332
Al2O3_1006,2.98292119,-0.09705509,-2.8e-07,0.09705434,2.98292078,-2.8e-07,-2.8e-07,-2.8e-07,3.4267319,2.98292119,0.09705434,-2.8e-07,-0.09705509,2.98292078,-2.8e-07,-2.8e-07,-2.8e-07,3.4267319,2.98292119,-0.09705509,-2.8e-07,0.09705434,2.98292078,-2.8e-07,-2.8e-07,-2.8e-07,3.4267319,2.98292119,0.09705434,-2.8e-07,-0.09705509,2.98292078,-2.8e-07,-2.8e-07,-2.8e-07,3.4267319,-1.96903237,2.4e-07,1.9e-07,2.5e-07,-2.00819562,-0.04266952,1.6e-07,0.1896075,-2.28448793,-1.998405,-0.01695805,0.03695324,-0.01695804,-1.97882297,0.02133504,-0.16420456,-0.09480347,-2.28448793,-1.99840503,0.01695856,-0.03695287,0.01695853,-1.97882297,0.02133504,0.16420496,-0.09480347,-2.28448793,-1.96903237,2.4e-07,1.9e-07,2.5e-07,-2.00819562,-0.04266952,1.6e-07,0.1896075,-2.28448793,-1.998405,-0.01695805,0.03695324,-0.01695804,-1.97882297,0.02133504,-0.16420456,-0.09480347,-2.28448793,-1.99840503,0.01695856,-0.03695287,0.01695853,-1.97882297,0.02133504,0.16420496,-0.09480347,-2.28448793
